best_rank,average_rank,worst_rank,line,score,ef,ep,nf,np,faulty,source
42,303.5,565,2534,0.852802865422,16,6,0,0,False,if (!storeRawNames(parser))
42,303.5,565,2537,0.852802865422,16,6,0,0,False,return result;
42,303.5,565,2657,0.852802865422,16,6,0,0,False,"doContent(XML_Parser parser,"
42,303.5,565,2666,0.852802865422,16,6,0,0,False,DTD * const dtd = parser->m_dtd;
42,303.5,565,2670,0.852802865422,16,6,0,0,False,if (enc == parser->m_encoding) {
42,303.5,565,2671,0.852802865422,16,6,0,0,False,eventPP = &parser->m_eventPtr;
42,303.5,565,2672,0.852802865422,16,6,0,0,False,eventEndPP = &parser->m_eventEndPtr;
42,303.5,565,2678,0.852802865422,16,6,0,0,False,*eventPP = s;
42,303.5,565,2681,0.852802865422,16,6,0,0,False,const char *next = s; /* XmlContentTok doesn't always set the last arg */
42,303.5,565,2682,0.852802865422,16,6,0,0,False,"int tok = XmlContentTok(enc, s, end, &next);"
42,303.5,565,2683,0.852802865422,16,6,0,0,False,*eventEndPP = next;
42,303.5,565,2684,0.852802865422,16,6,0,0,False,switch (tok) {
42,303.5,565,2688,0.852802865422,16,6,0,0,False,return XML_ERROR_NONE;
42,303.5,565,2876,0.852802865422,16,6,0,0,False,case XML_TOK_EMPTY_ELEMENT_NO_ATTS:
42,303.5,565,2880,0.852802865422,16,6,0,0,False,const char *rawName = s + enc->minBytesPerChar;
42,303.5,565,2882,0.852802865422,16,6,0,0,False,BINDING *bindings = NULL;
42,303.5,565,2883,0.852802865422,16,6,0,0,False,XML_Bool noElmHandlers = XML_TRUE;
42,303.5,565,2885,0.852802865422,16,6,0,0,False,"name.str = poolStoreString(&parser->m_tempPool, enc, rawName,"
42,303.5,565,2886,0.852802865422,16,6,0,0,False,"rawName + XmlNameLength(enc, rawName));"
42,303.5,565,2887,0.852802865422,16,6,0,0,False,if (!name.str)
42,303.5,565,2889,0.852802865422,16,6,0,0,False,poolFinish(&parser->m_tempPool);
42,303.5,565,2890,0.852802865422,16,6,0,0,False,"result = storeAtts(parser, enc, s, &name, &bindings);"
42,303.5,565,2891,0.852802865422,16,6,0,0,False,if (result != XML_ERROR_NONE) {
42,303.5,565,2895,0.852802865422,16,6,0,0,False,poolFinish(&parser->m_tempPool);
42,303.5,565,2896,0.852802865422,16,6,0,0,False,if (parser->m_startElementHandler) {
42,303.5,565,2900,0.852802865422,16,6,0,0,False,if (parser->m_endElementHandler) {
